,"x",,"x"
"1","3IINFOTECH","III","3IINFOTECH"
"2","ABAN","ABAN","ABAN"
"3","ABB","ABB","ABB"
"4","ABGSHIP","ABGS","ABGSHIP"
"5","ABIRLANUVO","ABNL","ABIRLANUVO"
"6","ACC","ACC","ACC"
"7","ADANIENT","ADE","ADANIENT"
"8","ADANIPOWER","ADANI","ADANIPOWER"
"9","ALBK","ALBK","ALBK"
"10","ALOKTEXT","ALOK","ALOKTEXT"
"11","AMBUJACEM","ACEM","AMBUJACEM"
"12","ANDHRABANK","ANDB","ANDHRABANK"
"13","APIL","ABBAP","APIL"
"14","APOLLOTYRE","APTY","APOLLOTYRE"
"15","AREVAT&D","ATD","AREVATANDD"
"16","ASHOKLEY","ALBK","ASHOKLEY"
"17","ASIANPAINT","APNT","ASIANPAINT"
"18","AUROPHARMA","ARBP","AUROPHARMA"
"19","AXISBANK","AXSB","AXISBANK"
"20","BAJAJ-AUTO","BJAUT","BAJAJAUTO"
"21","BAJAJHIND","BJH","BAJAJHIND"
"22","BAJAJHLDNG","BJHI","BAJAJHLDNG"
"23","BALRAMCHIN","BRCM","BALRAMCHIN"
"24","BANKBARODA","BOB","BANKBARODA"
"25","BANKINDIA","BOI","BANKINDIA"
"26","BATAINDIA","BATA","BATAINDIA"
"27","BEL","BHE","BEL"
"28","BEML","BEML","BEML"
"29","BGRENERGY","BGRL","BGRENERGY"
"30","BHARATFORG","BHFC","BHARATFORG"
"31","BHARTIARTL","BHARTI","BHARTIARTL"
"32","BHEL","BHEL","BHEL"
"33","BHUSANSTL","BHUS","BHUSANSTL"
"34","BIOCON","BIOS","BIOCON"
"35","BOMDYEING","BD","BOMDYEING"
"36","BOSCHLTD","BOS","BOSCHLTD"
"37","BPCL","BPCL","BPCL"
"38","BRFL","BRFL","BRFL"
"39","CAIRN","CAIR","CAIRN"
"40","CANBK","CBK","CANBK"
"41","CENTRALBK","CBOI","CENTRALBK"
"42","CENTURYTEX","CENT","CENTURYTEX"
"43","CESC","CESC","CESC"
"44","CHAMBLFERT","CHMB","CHAMBLFERT"
"45","CHENNPETRO","MRL","CHENNPETRO"
"46","CIPLA","CIPLA","CIPLA"
"47","COLPAL","CLGT","COLPAL"
"48","CONCOR","CCRI","CONCOR"
"49","COREPROTEC","CPTL","COREPROTEC"
"50","CROMPGREAV","CRG","CROMPGREAV"
"51","CUMMINSIND","KKC","CUMMINSIND"
"52","DABUR","DABUR","DABUR"
"53","DCB","DCB","DCB"
"54","DCHL","DECH","DCHL"
"55","DENABANK","DBNK","DENABANK"
"56","DISHTV","DITV","DISHTV"
"57","DIVISLAB","DIVI","DIVISLAB"
"58","DLF","DLFU","DLF"
"59","DRREDDY","DRRD","DRREDDY"
"60","EDUCOMP","EDSL","EDUCOMP"
"61","EKC","EKCL","EKC"
"62","ESCORTS","ESC","ESCORTS"
"63","ESSAROIL","ESOIL","ESSAROIL"
"64","EXIDEIND","EXID","EXIDEIND"
"65","FEDERALBNK","FB","FEDERALBNK"
"66","FINANTECH","FTECH","FINANTECH"
"67","FORTIS","FORH","FORTIS"
"68","FSL","FSOL","FSL"
"69","GAIL","GAIL","GAIL"
"70","GESHIP","GESCO","GESHIP"
"71","GLAXO","GLXO","GLAXO"
"72","GMDCLTD","GMDC","GMDCLTD"
"73","GMRINFRA","GMRI","GMRINFRA"
"74","GODREJIND","GDSP","GODREJIND"
"75","GRASIM","GRASIM","GRASIM"
"76","GSPL","GUJS","GSPL"
"77","GTL","GTS","GTL"
"78","GTLINFRA","GTLI","GTLINFRA"
"79","GTOFFSHORE","GOFF","GTOFFSHORE"
"80","GVKPIL","GVKP","GVKPIL"
"81","HAVELLS","HAVL","HAVELLS"
"82","HCC","HCC","HCC"
"83","HCLTECH","HCLT","HCLTECH"
"84","HDFC","HDFC","HDFC"
"85","HDFCBANK","HDFCB","HDFCBANK"
"86","HDIL","HDIL","HDIL"
"87","HEROHONDA","HH","HEROHONDA"
"88","HEXAWARE","HEXW","HEXAWARE"
"89","HINDALCO","HNDL","HINDALCO"
"90","HINDOILEXP","HOE","HINDOILEXP"
"91","HINDPETRO","HPCL","HINDPETRO"
"92","HINDUNILVR","HUVR","HINDUNILVR"
"93","HINDZINC","HZ","HINDZINC"
"94","HOTELEELA","LELA","HOTELEELA"
"95","IBREALEST","IBREL","IBREALEST"
"96","ICICIBANK","ICICIBC","ICICIBANK"
"97","IDBI","IDBI","IDBI"
"98","IDEA","IDEA","IDEA"
"99","IDFC","IDFC","IDFC"
"100","IFCI","IFCI","IFCI"
"101","IGL","IGL","IGL"
"102","INDHOTEL","IH","INDHOTEL"
"103","INDIACEM","ICEM","INDIACEM"
"104","INDIAINFO","IIFL","INDIAINFO"
"105","INDIANB","INBK","INDIANB"
"106","INDUSINDBK","IIB","INDUSINDBK"
"107","INFOSYSTCH","INFO","INFOSYSTCH"
"108","IOB","IOB","IOB"
"109","IOC","IOCL","IOC"
"110","IRB","IRB","IRB"
"111","ISPATIND","NDEN","ISPATIND"
"112","ITC","ITC","ITC"
"113","IVRCLINFRA","IVRC","IVRCLINFRA"
"114","JETAIRWAYS","JETIN","JETAIRWAYS"
"115","JINDALSAW","JSAW","JINDALSAW"
"116","JINDALSTEL","JSP","JINDALSTEL"
"117","JINDALSWHL","SWH","JINDALSWHL"
"118","JISLJALEQS","JI","JISLJALEQS"
"119","JPASSOCIAT","JPA","JPASSOCIAT"
"120","JPPOWER","JHPL","JPPOWER"
"121","JSWSTEEL","JSTL","JSWSTEEL"
"122","KFA","KAIR","KFA"
"123","KOTAKBANK","KMB","KOTAKBANK"
"124","KSOILS","KSO","KSOILS"
"125","KTKBANK","KBL","KTKBANK"
"126","LICHSGFIN","LICHF","LICHSGFIN"
"127","LITL","LANCI","LITL"
"128","LT","LT","LT"
"129","LUPIN","LPC","LUPIN"
"130","M&M","MM","MANDM"
"131","MARUTI","MSIL","MARUTI"
"132","MAX","MAX","MAX"
"133","MCDOWELL-N","MACH","MCDOWELLN"
"134","MCLEODRUSS","MCLR","MCLEODRUSS"
"135","MLL","MRLN","MLL"
"136","MOSERBAER","MBI","MOSERBAER"
"137","MPHASIS","MPHL","MPHASIS"
"138","MRF","MRF","MRF"
"139","MRPL","MRPL","MRPL"
"140","MTNL","MTNL","MTNL"
"143","NAGARFERT","NFCL","NAGARFERT"
"144","NATIONALUM","NACL","NATIONALUM"
"145","NEYVELILIG","NLC","NEYVELILIG"
"146","NHPC","NHPC","NHPC"
"147","NMDC","NMDC","NMDC"
"148","NTPC","NTPC","NTPC"
"149","OFSS","OFSS","OFSS"
"150","OIL","OINL","OIL"
"151","ONGC","ONGC","ONGC"
"152","ONMOBILE","ONMB","ONMOBILE"
"153","OPTOCIRCUI","OPTC","OPTOCIRCUI"
"154","ORBITCORP","ORB","ORBITCORP"
"155","ORCHIDCHEM","OCP","ORCHIDCHEM"
"156","ORIENTBANK","OBC","ORIENTBANK"
"157","PANTALOONR","PF","PANTALOONR"
"158","PATELENG","PEC","PATELENG"
"159","PATNI","PEC","PATNI"
"160","PETRONET","PLNG","PETRONET"
"161","PFC","POWF","PFC"
"162","PIRHEALTH","PIHC","PIRHEALTH"
"163","PNB","PNB","PNB"
"164","POLARIS","POL","POLARIS"
"165","POWERGRID","PWGR","POWERGRID"
"166","PRAJIND","PRJ","PRAJIND"
"167","PTC","PTCIN","PTC"
"168","PUNJLLOYD","PUNJ","PUNJLLOYD"
"169","RANBAXY","RBXY","RANBAXY"
"170","RCOM","RCOM","RCOM"
"171","RECLTD","RECL","RECLTD"
"172","RELCAPITAL","RCAPT","RELCAPITAL"
"173","RELIANCE","RIL","RELIANCE"
"174","RELINFRA","RELI","RELINFRA"
"175","RELMEDIA","RMW","RELMEDIA"
"176","RENUKA","SHRS","RENUKA"
"177","ROLTA","RLTA","ROLTA"
"178","RPOWER","RPWR","RPOWER"
"179","RUCHISOYA","RSI","RUCHISOYA"
"180","SAIL","SAIL","SAIL"
"181","SBIN","SBIN","SBIN"
"182","SCI","SCI","SCI"
"183","SESAGOA","SESA","SESAGOA"
"184","SIEMENS","SIEM","SIEMENS"
"185","SINTEX","SINT","SINTEX"
"186","SKUMARSYNF","SKNL","SKUMARSYNF"
"187","SOBHA","SOBHA","SOBHA"
"188","SREINFRA","SREI","SREINFRA"
"189","SRTRANSFIN","SHTF","SRTRANSFIN"
"190","STER","STLT","STER"
"191","STERLINBIO","SLT","STERLINBIO"
"192","STRTECH","SOTL","STRTECH"
"193","SUNPHARMA","SUNP","SUNPHARMA"
"194","SUNTV","SUNTV","SUNTV"
"195","SUZLON","SUEL","SUZLON"
"196","SYNDIBANK","SNDB","SYNDIBANK"
"197","TATACHEM","TTCH","TATACHEM"
"198","TATACOMM","TCOM","TATACOMM"
"199","TATAGLOBAL","TGBL","TATAGLOBAL"
"200","TATAMOTORS","TTMT","TATAMOTORS"
"201","TATAMTRDVR","TTMT A","TATAMTRDVR"
"202","TATAPOWER","TPWR","TATAPOWER"
"203","TATASTEEL","TATA","TATASTEEL"
"204","TCS","TCS","TCS"
"205","TECHM","TECHM","TECHM"
"206","TITAN","TTAN","TITAN"
"207","TRIVENI","TRE","TRIVENI"
"208","TTML","TTLS","TTML"
"209","TULIP","TTSL","TULIP"
"210","TV-18","TLEI","TV18"
"211","TVSMOTOR","TVSL","TVSMOTOR"
"212","UCOBANK","UCO","UCOBANK"
"213","ULTRACEMCO","UTCEM","ULTRACEMCO"
"214","UNIONBANK","UNBK","UNIONBANK"
"215","UNIPHOS","UNTP","UNIPHOS"
"216","UNITECH","UT","UNITECH"
"217","VIDEOIND","VCLF","VIDEOIND"
"218","VIJAYABANK","VJYBK","VIJAYABANK"
"219","VOLTAS","VOLT","VOLTAS"
"220","WELCORP","WLCO","WELCORP"
"221","WIPRO","WPRO","WIPRO"
"222","YESBANK","YES","YESBANK"
"223","ZEEL","Z","ZEEL"
