"SYMBOL","PURPOSE","VALUE","EX_DATE"
"IOB","AGM/DIVIDEND - 35%       PURPOSE REVISED","35.00%","2008-05-05"
"IOC","DIVIDEND-RS.7.50 PR SHARE","7.5","2009-09-02"
"IOC","ANNUAL GENERAL MEETING AND DIVIDEND RS.13/- PER SHARE","13","2010-09-08"
"IOC","AGM/DIVIDEND-100%","100.00%","2005-09-08"
"IOC","AGM/FINAL DIVIDEND-125%","125.00%","2006-09-07"
"IOC","AGM/FINAL DIVIDEND-130%","130.00%","2007-09-10"
"IOC","AGM/DIVIDEND - 55%","55.00%","2008-09-09"
"IOC","INTERIM DIVIDEND - 60%","60.00%","2006-12-26"
"IRB","DIVIDEND-RE.0.50 PR SHARE","0.5","2009-08-27"
"IRB","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-09-21"
"IRB","INTERIM DIVIDEND - 10%   PURPOSE REVISED","10.00%","2009-02-12"
"ITC","AGM/DIV-RS.2.65/- PER SH","2.65","2006-07-10"
"ITC","AGM/DIV-RS.3.10 PER SH","3.1","2007-07-16"
"ITC","AGM/DIV-RE. 3.50/- PR SHR","3.5","2008-07-16"
"ITC","AGM/DIV-RS.3.70 PER SHARE","3.7","2009-07-13"
"ITC","DIVIDEND FINAL RS 2.80 AND SPECIAL RS 1.65 PER SHARE","4.45","2011-06-10"
"ITC","FINAL DIVIDEND RS.4.50 PER SHARE AND SPECIAL CENTENARY DIVIDEND RS.5.50 PER SHARE","10","2010-06-09"
"ITC","AGM/DIV.RS.31/- PER SHARE","31","2005-07-18"
"IVRCLINFRA","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.80 PER SHARE","0.8","2010-09-08"
"IVRCLINFRA","AGM/DIV-RE.1/- PER SH","1","2007-08-31"
"IVRCLINFRA","AGM/DIV-RS.1.40 PER SHARE","1.4","2009-09-01"
"IVRCLINFRA","AGM/DIVIDEND-30%         BOOK CLOSURE DATES REVISED","30.00%","2005-09-22"
"IVRCLINFRA","AGM/DIVIDEND-50%","50.00%","2006-09-22"
"IVRCLINFRA","AGM/DIVIDEND - 70%","70.00%","2008-09-09"
"JETAIRWAYS","AGM/DIV-RS.3/- PER SHARE","3","2005-09-14"
"JETAIRWAYS","AGM/DIV-RS.6/- PER SH","6","2006-09-07"
"JETAIRWAYS","AGM/DIV-RS.6/- PER SH","6","2007-09-13"
"JINDALSAW","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.25 PER SHARE","1.25","2010-09-09"
"JINDALSAW","AGM/FIN DIV-RS.4/- PER SH","4","2005-12-23"
"JINDALSAW","AGM/DIV - RS.5 PER SHARE","5","2009-06-15"
"JINDALSAW","AGM/DIV-RS.5/- PER EQ SH","5","2006-12-22"
"JINDALSAW","AGM/DIV-RS6.25 PER SHARE","6.25","2008-03-19"
"JINDALSTEL","DIVIDEND-RS.1.25 PER SHARE","1.25","2010-09-13"
"JINDALSTEL","DIV-RS.5.50 PR SH/BON 5:1PURPOSE REVISED","5.5","2009-09-14"
"JINDALSTEL","INTERIM DIVIDEND-120%    PURPOSE REVISED","120.00%","2007-02-05"
"JINDALSTEL","DIVIDEND-200%","200.00%","2005-07-07"
"JINDALSTEL","FINAL DIVIDEND-200%","200.00%","2006-09-14"
"JINDALSTEL","AGM/DIVIDEND-240%","240.00%","2007-09-06"
"JINDALSTEL","AGM/DIVIDEND - 250%","250.00%","2008-09-12"
"JISLJALEQS","AGM/DIV-RS.1.80/- PER SH","1.8","2006-09-14"
"JISLJALEQS","AGM/DIV-RS.2/- PER SH","2","2007-09-13"
"JISLJALEQS","AGM/DIV-RS.2.50 PER SHARE","2.5","2009-09-10"
"JISLJALEQS","ANNUAL GENERAL MEETING AND DIVIDEND RS.4.50 PER SHARE","4.5","2010-09-16"
"JISLJALEQS","AGM/DIVIDEND - 22%","22.00%","2008-09-11"
"JPASSOCIAT","2ND INT DIV-RE0.30 PER SHRD DATE REVISED","0.3","2008-01-28"
"JPASSOCIAT","INTERIM DIVIDEND-RE.0.40 PER SHARE (PURPOSE REVISED)","0.4","2011-02-08"
"JPASSOCIAT","AGM/DIV-RE.0.40 PER SHARE","0.4","2009-09-22"
"JPASSOCIAT","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.54 PER SHARE","0.54","2010-09-15"
"JPASSOCIAT","INT DIV-RE.0.54 PER SHAREPURPOSE REVISED","0.54","2009-10-29"
"JPASSOCIAT","AGM/DIV-RE.0.60/- PER SH","0.6","2005-09-14"
"JPASSOCIAT","AGM/FIN DIV-RE0.90 PER SH","0.9","2006-10-16"
"JPASSOCIAT","FIN DIV-RS.1.60 PER SH","1.6","2007-08-23"
"JPASSOCIAT","1ST INTERIM DIVIDEND-15% PURPOSE REVISED","15.00%","2007-07-23"
"JPASSOCIAT","1ST INTERIM DIVIDEND-15% PURPOSE REVISED","15.00%","2008-10-29"
"JPASSOCIAT","2ND INTERIM DIVIDEND-15% PURPOSE REVISED","15.00%","2009-05-07"
"JPASSOCIAT","AGM/DIVIDEND - 20%","20.00%","2008-08-18"
"JPPOWER","AGM/DIV-RE.0.75 PER SHARE","0.75","2009-08-10"
"JPPOWER","INT DIV-RE.0.75 PER SHARE","0.75","2007-09-11"
"JPPOWER","AGM/DIVIDEND- 7.5%","7.50%","2008-07-31"
"JPPOWER","AGM/DIVIDEND-7.5%","7.50%","2005-08-31"
"JPPOWER","INTERIM DIVIDEND - 7.5%  PURPOSE REVISED","7.50%","2008-10-29"
"JSWSTEEL","AGM/DIV-RE.1/- PER SHARE","1","2009-06-29"
"JSWSTEEL","AGM/DIVIDEND RS 9.50 PER SHARE","9.5","2010-06-14"
"JSWSTEEL","INT DIV-RS.12.50 PER SH  PURPOSE REVISED","12.5","2007-03-20"
"JSWSTEEL","AGM/DIVIDEND - 140%","140.00%","2008-05-21"
"JSWSTEEL","AGM/ DIVIDEND-50%","50.00%","2005-04-29"
"JSWSTEEL","AGM/DIVIDEND-80%","80.00%","2006-06-15"
"KOTAKBANK","AGM/DIV-RE.0.75 PER SHARE","0.75","2009-07-14"
"KOTAKBANK","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.85 PER SHARE","0.85","2010-06-30"
"KOTAKBANK","AGM/DIVIDEND-12.5%","12.50%","2005-07-15"
"KOTAKBANK","AGM/DIVIDEND-6%","6.00%","2006-07-07"
"KOTAKBANK","AGM/DIVIDEND-7%","7.00%","2007-06-22"
"KOTAKBANK","AGM/DIVIDEND - 7.50%","7.50%","2008-07-14"
"KSOILS","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.18 PER SHARE","0.18","2010-09-23"
"KSOILS","AGM/DIV-RE.0.18 PER SHARE","0.18","2009-09-24"
"KSOILS","AGM/DIVIDEND-15%","15.00%","2007-06-15"
"KSOILS","AGM/DIVIDEND - 18%","18.00%","2008-09-12"
"KTKBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2010-07-15"
"KTKBANK","AGM/DIV-RS.6/- PER SHARE","6","2009-07-23"
"KTKBANK","AGM/DIVIDEND-20%","20.00%","2005-07-07"
"KTKBANK","AGM/DIVIDEND-30%","30.00%","2006-06-29"
"KTKBANK","AGM/DIVIDEND-35%","35.00%","2007-06-22"
"KTKBANK","AGM/DIVIDEND-50%","50.00%","2008-07-03"
"LICHSGFIN","AGM/DIV-RS.13/- PER SHARE","13","2009-06-29"
"LICHSGFIN","AGM/DIVIDEND - 100%","100.00%","2008-06-13"
"LICHSGFIN","AGM/DIVIDEND-30%","30.00%","2007-06-28"
"LICHSGFIN","AGM/DIVIDEND-50%","50.00%","2005-07-26"
"LICHSGFIN","INTERIM DIVIDEND-50%","50.00%","2007-03-26"
"LICHSGFIN","AGM/DIVIDEND-60%","60.00%","2006-07-19"
"LT","AGM/FIN DIV-RS.2/- PER SH","2","2007-08-14"
"LT","SPL DIVIDEND-RS2/- PER SH","2","2007-07-17"
"LT","DIVIDEND-RS10.50 PR SHARE","10.5","2009-08-18"
"LT","ANNUAL GENERAL MEETING AND DIVIDEND RS.12.50 PER SHARE","12.5","2010-08-17"
"LT","AGM/DIV - RS.15 PER SHARE","15","2008-08-20"
"LT","DIV-RS.17.5/- PER SHARE","17.5","2005-08-12"
"LUPIN","AGM/DIV-RS.12.50 PR SHARE","12.5","2009-07-20"
"LUPIN","ANNUAL GENERAL MEETING AND DIVIDEND RS.13.50 PER SHARE","13.5","2010-07-19"
"LUPIN","AGM/DIV-50% + SPL DIV-50%","100.00%","2008-07-11"
"LUPIN","AGM/DIVIDEND-50%","50.00%","2007-07-10"
"LUPIN","AGM/DIVIDEND-65%","65.00%","2006-07-07"
"LUPIN","AGM/DIVIDEND-65%","65.00%","2005-07-15"
"M&M","ANNUAL GENERAL MEETING/FINAL DIVIDEND RS.8.75 PER SHARE AND SPECIAL DIVIDEND RE.0.75 PER SHARE (PURPOSE REVISED)","9.5","2010-07-08"
"M&M","AGM/DIV-RS.10/- PER SHAREPURPOSE REVISED","10","2009-07-09"
"M&M","AGM/DIV.-FIN.75%+SPL.25%","100.00%","2006-06-29"
"M&M","AGM/DIVIDEND - 115%      PURPOSE REVISED","115.00%","2008-07-03"
"M&M","AGM/DIV-(FIN-100%+SP-30%)","130.00%","2005-06-29"
"M&M","AGM/DIV FIN-25% + SPL-15%PURPOSE REVISED","40.00%","2007-07-05"
"M&M","INTERIM DIVIDEND-75%     PURPOSE REVISED","75.00%","2007-03-23"
"MARUTI","AGM/DIV-RS.3.50 PER SHARE","3.5","2009-08-18"
"MARUTI","AGM/FIN DIV-RS4.50 PER SH","4.5","2007-08-22"
"MARUTI","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.6/- PER SHARE","6","2010-08-24"
"MARUTI","AGM/DIVIDEND - 100%","100.00%","2008-08-14"
"MCDOWELL-N","AGM/DIV-RS.2/- PER SHARE","2","2009-09-22"
"MCDOWELL-N","ANNUAL GENERAL MEETING AND DIVIDEND RS.2.50 PER SHARE","2.5","2010-09-21"
"MCDOWELL-N","AGM/FINAL DIVIDEND-10%","10.00%","2007-11-20"
"MCDOWELL-N","AGM/DIVIDEND - 15%","15.00%","2008-12-19"
"MCDOWELL-N","INTERIM DIVIDEND-15%     PURPOSE REVISED","15.00%","2007-03-22"
"MCDOWELL-N","AGM/DIVIDEND-20%","20.00%","2006-12-08"
"MCDOWELL-N","AGM/DIVIDEND-20%","20.00%","2005-09-13"
"MCLEODRUSS","AGM/DIV-RE.1/- PER SH","1","2007-07-18"
"MCLEODRUSS","AGM/DIV-RS.2/- PER SHARE","2","2009-07-17"
"MCLEODRUSS","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2010-07-22"
"MCLEODRUSS","AGM/DIVIDEND - 20%","20.00%","2008-07-18"
"MLL","DIVIDEND-RE.0.20 PER SHARE","0.2","2010-08-30"
"MLL","ANN CLSR/DIV-RE.0.50 P SH","0.5","2009-09-14"
"MLL","DIVIDEND-100%","100.00%","2005-09-16"
"MLL","DIVIDEND-100%","100.00%","2007-09-12"
"MLL","ANNUAL CLOSURE/DIV-110%","110.00%","2008-07-03"
"MLL","FINAL DIVIDEND-30%","30.00%","2006-07-20"
"MOSERBAER","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.60 PER SHARE","0.6","2010-09-27"
"MOSERBAER","AGM/DIV-RE.0.60 PER SHARE","0.6","2009-09-03"
"MOSERBAER","AGM/DIVIDEND - 10%","10.00%","2008-07-29"
"MOSERBAER","DIVIDEND-10%","10.00%","2005-07-28"
"MOSERBAER","DIVIDEND-10%","10.00%","2006-07-13"
"MOSERBAER","FINAL DIVIDEND - 15%","15.00%","2007-06-11"
"MPHASIS","AGM/DIV-RS.2 PER SHARE","2","2009-01-22"
"MPHASIS","AGM/DIV-RS.3/- PER SH","3","2006-08-24"
"MPHASIS","AGM/DIV-RS.3/- PER SHARE","3","2005-09-22"
"MPHASIS","AGM/FIN DIV-RS.3/- PER SH","3","2007-09-07"
"MPHASIS","AGM/DIV-RS.3.30 PER SHARE","3.3","2008-07-16"
"MPHASIS","DIVIDEND-RS.3.50 PR SHARE","3.5","2010-02-10"
"MPHASIS","FINAL DIVIDEND-RS.4/- PER SHARE","4","2011-02-10"
"MRF","ANNUAL GENERAL MEETING/FINAL DIVIDEND RS.19/- PER SHARE/SPECIAL DIVIDEND RS.25/- PER SHARE","34","2011-01-28"
"MRF","AGM/DIVIDEND - 140%","140.00%","2009-03-06"
"MRF","AGM/DIVIDEND-140%","140.00%","2006-03-10"
"MRF","AGM/FINAL DIVIDEND - 140%","140.00%","2007-03-09"
"MRF","AGM/FINAL DIVIDEND - 140%","140.00%","2008-03-05"
"MRF","INTERIM DIVIDEND - 30%","30.00%","2008-08-08"
"MRF","INTERIM DIVIDEND-30%     PURPOSE REVISED","30.00%","2006-08-03"
"MRF","2ND INTERIM DIVIDEND-30%","30.00%","2007-11-07"
"MRF","2ND INTERIM DIVIDEND-30%","30.00%","2008-11-06"
"MRF","2ND INTERIM DIVIDEND-30% PURPOSE REVISED","30.00%","2006-11-14"
"MRPL","AGM/DIV-RE.0.70 PER SH","0.7","2006-08-16"
"MRPL","AGM/DIV-RE.0.80 PER SH","0.8","2007-08-01"
"MRPL","AGM/DIV-RS 1.20 PER SH","1.2","2008-06-18"
"MRPL","AGM/DIV-RS.1.20 PER SHARE","1.2","2009-08-06"
"MRPL","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.20 PER SHARE","1.2","2010-07-15"
"MRPL","DIVIDEND-10%","10.00%","2005-08-11"
"MTNL","AGM/DIVIDEND - 10%","10.00%","2008-09-22"
"MTNL","AGM/DIVIDEND-10%","10.00%","2006-09-18"
"MTNL","AGM/DIVIDEND-10%","10.00%","2007-09-19"
"MTNL","AGM/DIVIDEND-25%","25.00%","2005-09-14"
"MTNL","INTERIM DIVIDEND - 30%","30.00%","2008-02-21"
"MTNL","INTERIM DIVIDEND-30%","30.00%","2007-02-19"
"MUNDRAPORT","INTERIM DIVIDEND-RE.0.40 PER SHARE (PURPOSE REVISED)","0.4","2011-05-05"
"MUNDRAPORT","INTERIM DIVIDEND-RE.0.50 PER SHARE (PURPOSE REVISED)","0.5","2011-02-14"
"MUNDRAPORT","AGM/DIV-RE.1/- PER SHARE","1","2009-08-17"
"MUNDRAPORT","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-08-09"
"MUNDRAPORT","INT DIV-RS.2.50 PER SHAREPURPOSE REVISED","2.5","2010-02-03"
"MUNDRAPORT","AGM/DIVIDEND - 15%","15.00%","2008-09-12"
"NAGARFERT","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.50 PER SHARE","0.5","2010-07-14"
"NATIONALUM","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RE.1/- PER SHARE","1","2010-08-27"
"NATIONALUM","DIVIDEND-RS.1.50 PR SHARE","1.5","2009-09-04"
"NATIONALUM","INT DIV-RS.1.50 PER SHAREPURPOSE REVISED","1.5","2010-03-23"
"NATIONALUM","INTERIM DIVIDEND-RS.2/- PER SHARE (PURPOSE REVISED)","2","2011-02-07"
"NATIONALUM","AGM/DIVIDEND - 15%","15.00%","2008-09-01"
"NATIONALUM","2ND INTERIM DIVIDEND-15%","15.00%","2007-03-22"
"NATIONALUM","AGM/DIVIDEND-20%","20.00%","2005-09-23"
"NATIONALUM","AGM/FINAL DIVIDEND-25%","25.00%","2007-09-14"
"NATIONALUM","AGM/DIVIDEND-30%","30.00%","2006-09-22"
"NATIONALUM","INTERIM DIVIDEND - 35%","35.00%","2009-02-12"
"NATIONALUM","INTERIM DIVIDEND-35%","35.00%","2007-02-06"
"NATIONALUM","INTERIM DIVIDEND - 45%   DIVIDEND REVISED","45.00%","2008-02-13"
"NCC","AGM/DIV-RS.1.10 PER SHARE","1.1","2009-07-14"
"NCC","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.30 PER SHARE","1.3","2010-07-22"
"NCC","AGM/DIVIDEND-20%","20.00%","2007-07-12"
"NCC","INTERIM DIVIDEND-40%     PURPOSE REVISED","40.00%","2007-03-26"
"NCC","AGM/DIVIDEND - 60%","60.00%","2005-07-21"
"NCC","AGM/DIVIDEND - 65%","65.00%","2008-07-17"
"NCC","AGM/DIVIDEND-80%","80.00%","2006-08-10"
"NEYVELILIG","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RE.1/- PER SHARE","1","2010-08-18"
"NEYVELILIG","AGM/DIV-RS.2/- PER SHARE","2","2009-08-20"
"NEYVELILIG","AGM/DIVIDEND - 10%","10.00%","2008-08-14"
"NEYVELILIG","INTERIM DIVIDEND - 10%","10.00%","2008-02-05"
"NEYVELILIG","AGM/DIVIDEND-12%","12.00%","2007-08-16"
"NEYVELILIG","AGM/DIVIDEND-14%","14.00%","2005-09-14"
"NHPC","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.55 PER SHARE","0.55","2010-09-07"
"NMDC","INT DIV-RE.0.75 PER SHARE","0.75","2010-02-04"
"NMDC","ANNUAL GENERAL MEETING / DIVIDEND RE 1 PER SHARE","1","2010-07-29"
"NMDC","INTERIM DIVIDEND-RS.1.15 PER SHARE","1.15","2011-02-10"
"NMDC","AGM/DIV-RS.1.18 PER SHARE","1.18","2009-08-20"
"NMDC","INTERIM DIVIDEND -103%","103.00%","2009-02-18"
"NMDC","AGM/FINAL DIVIDEND - 54%","54.00%","2008-08-04"
"NTPC","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RE.0.80 PER SHARE","0.8","2010-09-08"
"NTPC","AGM/DIV-RE.0.80 PER SHARE","0.8","2009-09-03"
"NTPC","INTERIM DIVIDEND-RS.3/- PER SHARE (PURPOSE REVISED)","3","2011-02-04"
"NTPC","DIVIDEND-12%","12.00%","2005-09-08"
"NTPC","INTERIM DIVIDEND-24%     PURPOSE REVISED","24.00%","2007-02-02"
"NTPC","INTERIM DIVIDEND - 27%   PURPOSE REVISED","27.00%","2008-02-04"
"NTPC","INTERIM DIVIDEND - 28%   PURPOSE REVISED","28.00%","2009-01-29"
"NTPC","AGM/DIVIDEND-8%","8.00%","2006-08-30"
"NTPC","AGM/FINAL DIVIDEND - 8%","8.00%","2008-08-28"
"NTPC","AGM/FINAL DIVIDEND-8%","8.00%","2007-08-30"
"OFSS","AGM/DIVIDEND-RS.5 PER SH PURPOSE REVISED","5","2006-08-03"
"OFSS","AGM/DIVIDEND-100%","100.00%","2005-08-04"
"OIL","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.16/- PER SHARE","16","2010-09-16"
"ONGC","AGM/DIV-RS.14/- PER SHARE","14","2009-09-11"
"ONGC","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.15/- PER SHARE","15","2010-09-09"
"ONGC","INT DIVIDEND-RS.18 PER SHPURPOSE REVISED","18","2007-12-26"
"ONGC","SPECIAL INTERIM DIVIDEND-RS.32/- PER SHARE (PURPOSE REVISED)","32","2010-12-20"
"ONGC","AGM/FINAL DIVIDEND-130%","130.00%","2007-09-10"
"ONGC","AGM/DIVIDEND - 140%","140.00%","2008-09-08"
"ONGC","INTERIM DIVIDEND - 180%  PURPOSE REVISED","180.00%","2008-12-23"
"ONGC","INTERIM DIVIDEND-180%    PURPOSE REVISED","180.00%","2006-12-27"
"ONGC","AGM/DIVIDEND-200%","200.00%","2005-09-01"
"ONGC","AGM/FINAL DIVIDEND-200%","200.00%","2006-09-06"
"OPTOCIRCUI","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2010-09-21"
"OPTOCIRCUI","AGM/DIVIDEND-35%","35.00%","2005-07-08"
"OPTOCIRCUI","AGM/DIVIDEND-40%","40.00%","2006-09-20"
"OPTOCIRCUI","AGM/DIVIDEND - 50%","50.00%","2008-09-24"
"OPTOCIRCUI","AGM/DIVIDEND--50%","50.00%","2007-09-18"
"ORBITCORP","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RE.1.50 PER SHARE","1.5","2010-05-25"
"ORBITCORP","INTERIM DIVIDEND-15%","15.00%","2007-08-16"
"ORBITCORP","2ND INTERIM DIVIDEND-15%","15.00%","2008-02-05"
"ORBITCORP","ANN BC/ AGM/ FIN DIV-25%","25.00%","2008-07-31"
"ORCHIDCHEM","AGM/DIV-RE.1/- PER SHARE","1","2009-09-17"
"ORCHIDCHEM","ANNUAL GENERAL MEETING AND DIVIDEND RS.10/- PER SHARE","10","2010-07-12"
"ORCHIDCHEM","AGM/DIVIDEND - 30%","30.00%","2008-09-18"
"ORCHIDCHEM","AGM/DIVIDEND-30%","30.00%","2007-07-12"
"ORCHIDCHEM","AGM/DIVIDEND-30%","30.00%","2006-05-30"
"ORCHIDCHEM","AGM/DIVIDEND-40%","40.00%","2005-07-13"
"ORIENTBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.9.10 PER SHARE","9.1","2010-06-14"
"ORIENTBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.10.40 PER SHARE","10.4","2011-06-14"
"ORIENTBANK","INTERIM DIVIDEND-20%","20.00%","2007-03-07"
"ORIENTBANK","AGM/DIVIDEND-27%","27.00%","2007-06-06"
"ORIENTBANK","AGM/DIVIDEND-30%","30.00%","2005-06-29"
"ORIENTBANK","AGM/DIVIDEND-45%","45.00%","2006-06-01"
"ORIENTBANK","AGM/DIVIDEND-47%","47.00%","2008-06-09"
"ORIENTBANK","AGM/DIVIDEND - 73%","73.00%","2009-06-16"
"PANTALOONR","AGM/DIV-RE0.50 PER SH","0.5","2007-11-07"
"PANTALOONR","DIVIDEND-RE.0.60 PR SHARE","0.6","2009-11-25"
"PANTALOONR","DIVIDEND-RE.0.80 PER SHARE","0.8","2010-10-20"
"PANTALOONR","AGM/DIV-RS.2.50/- PER SH","2.5","2006-11-08"
"PANTALOONR","AGM/DIV-RS.2.50/- PER SH","2.5","2005-11-11"
"PANTALOONR","AGM/DIV-30%/BON 1DVR:10EQ","30.00%","2008-11-05"
"PATELENG","AGM/DIV-RE.0.95 PER SHARE","0.95","2009-07-20"
"PATELENG","AGM/DIV FIN 20% + INT 80%PURPOSE REVISED","100.00%","2008-07-28"
"PATELENG","INTERIM DIVIDEND-130%","130.00%","2007-10-29"
"PATELENG","INTERIM DIVIDEND-130%    PURPOSE REVISED","130.00%","2007-03-21"
"PATELENG","AGM/DIVIDEND-30%","30.00%","2006-09-07"
"PATELENG","AGM/DIVIDEND-60%","60.00%","2005-09-22"
"PATNI","AGM/DIV-RS.3/- PER SHARE","3","2009-06-16"
"PATNI","FINAL DIVIDEND-RS.3/- PER SHARE","3","2010-06-14"
"PATNI","SPECIAL INTERIM DIVIDEND-RS.63/- PER SHARE","63","2010-08-30"
"PATNI","AGM/DIVIDEND-100%","100.00%","2005-06-07"
"PATNI","AGM/FINAL DIVIDEND-125%","125.00%","2006-06-13"
"PATNI","AGM/DIVIDEND-150%","150.00%","2008-06-17"
"PATNI","AGM/FINAL DIVIDEND-150%","150.00%","2007-06-12"
"PETRONET","AGM/DIV-RS.1.75 PER SHARE","1.75","2009-06-11"
"PETRONET","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.75 PER SHARE","1.75","2010-06-10"
"PETRONET","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2011-06-16"
"PETRONET","AGM/DIVIDEND-12.5%","12.50%","2007-05-30"
"PETRONET","AGM/DIVIDEND - 15%","15.00%","2008-05-22"
"PFC","AGM/DIV-RS.1.35 PER SHARE","1.35","2009-09-07"
"PFC","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-09-03"
"PFC","INTERIM DIVIDEND-RS.3.50 PER SHARE (PURPOSE REVISED)","3.5","2011-01-21"
"PFC","AGM/DIVIDEND - 10%","10.00%","2008-07-14"
"PFC","AGM/FINAL DIVIDEND-10%","10.00%","2007-09-07"
"PFC","INTERIM DIVIDEND - 25%   PURPOSE REVISED","25.00%","2008-02-11"
"PFC","INTERIM DIVIDEND - 26.5% PURPOSE REVISED","26.50%","2009-02-24"
"PIRHEALTH","AGM/DIV-RS.3/- PER SHARE","3","2006-06-15"
"PIRHEALTH","AGM/DIV-RS.4.20 PER SHARE","4.2","2009-06-05"
"PIRHEALTH","DIVIDEND-RS.5.40 PER SHARE","5.4","2010-06-29"
"PIRHEALTH","INTERIM DIVIDEND-150%    PURPOSE REVISED","150.00%","2007-03-23"
"PIRHEALTH","DIV150%/RGHT1:10 PR-RS173","150.00%","2005-06-24"
"PIRHEALTH","AGM/DIVIDEND - 210%","210.00%","2008-06-16"
"PIRHEALTH","AGM/FINAL DIVIDEND-25%","25.00%","2007-05-31"
"PNB","AGM/FIN DIV-RS.6/- PER SH","6","2007-06-07"
"PNB","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.12/- PER SHARE","12","2010-07-08"
"PNB","AGM/DIV-RS.20/- PER SHARE","20","2009-06-04"
"PNB","ANNUAL GENERAL MEETING AND DIVIDEND RS.22/- PER SHARE","22","2011-06-16"
"PNB","AGM/DIVIDEND - 130%","130.00%","2008-05-29"
"PNB","AGM/FINAL DIVIDEND-30%   PURPOSE REVISED","30.00%","2006-06-22"
"PNB","INTERIM DIVIDEND-40%","40.00%","2007-02-14"
"POLARIS","AGM/DIV-RS.1.25 PER SHARE","1.25","2009-07-09"
"POLARIS","AGM/DIV-RS.1.75 PER SHARE","1.75","2010-07-08"
"POLARIS","INT DIV-RS.1.75 PER SHARE","1.75","2010-02-04"
"POLARIS","AGM/DIVIDEND-25%","25.00%","2006-08-07"
"POLARIS","2ND INTERIM DIVIDEND-25% PURPOSE REVISED","25.00%","2007-04-04"
"POLARIS","AGM/DIVIDEND - 30%","30.00%","2008-07-09"
"POLARIS","INTERIM DIVIDEND - 30%","30.00%","2009-02-05"
"POLARIS","DIVIDEND-35%","35.00%","2005-07-08"
"POWERGRID","INTERIM DIVIDEND-RE.0.50 PER SHARE (PURPOSE REVISED)","0.5","2011-02-11"
"POWERGRID","INT DIV-RE.0.50 PER SHAREPURPOSE REVISED","0.5","2010-01-11"
