"SYMBOL","PURPOSE","VALUE","EX_DATE"
"POWERGRID","DIVIDEND-RE.0.70 PR SHARE","0.7","2009-08-21"
"POWERGRID","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2010-09-07"
"POWERGRID","INTERIM DIVIDEND - 5%    PURPOSE REVISED","5.00%","2008-03-10"
"POWERGRID","INTERIM DIVIDEND - 5%    PURPOSE REVISED","5.00%","2009-02-04"
"POWERGRID","AGM/DIVIDEND - 7%","7.00%","2008-09-01"
"PRAJIND","INT DIV-RS.1.44 PER SHAREPURPOSE REVISED","1.44","2010-01-28"
"PRAJIND","INTERIM DIV-RS.1.98 PR SHPURPOSE REVISED","1.98","2008-02-07"
"PRAJIND","INTERIM DIVIDEND-45%     PURPOSE REVISED","45.00%","2006-10-19"
"PRAJIND","INT DIV-65%+SPL DIV-25%  PURPOSE REVISED","80.00%","2009-02-06"
"PTC","AGM/DIV-RS.1.20 PER SHARE","1.2","2009-09-17"
"PTC","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.20 PER SHARE","1.2","2010-09-16"
"PTC","AGM/DIVIDEND - 10%","10.00%","2008-07-24"
"PTC","AGM/DIVIDEND-10%","10.00%","2007-09-13"
"PTC","AGM/DIVIDEND-10%","10.00%","2006-07-05"
"PTC","AGM/DIVIDEND-8%","8.00%","2005-09-21"
"PUNJLLOYD","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.15 PER SHARE","0.15","2010-07-23"
"PUNJLLOYD","AGM/DIV-RE.0.30 PER SHARE","0.3","2009-07-20"
"PUNJLLOYD","AGM/DIVIDEND-10%","10.00%","2006-09-13"
"PUNJLLOYD","AGM/DIVIDEND-15%","15.00%","2007-07-18"
"PUNJLLOYD","AGM/DIVIDEND - 20%","20.00%","2008-07-17"
"RANBAXY","DIVIDEND - RS. 2 PER SHARE","2","2011-04-28"
"RANBAXY","INT DIV-RS.2.50 PER SHARE","2.5","2007-11-01"
"RANBAXY","AGM/DIV-RS.6/- PER SHARE","6","2008-05-21"
"RANBAXY","AGM/FIN DIV-RS.6/- PER SH","6","2006-06-15"
"RANBAXY","INTERIM DIVIDEND-50%","50.00%","2006-11-02"
"RAYMOND","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2011-05-18"
"RAYMOND","AGM/DIVIDEND - 25%","25.00%","2008-05-30"
"RAYMOND","AGM/DIVIDEND-40%","40.00%","2005-05-30"
"RAYMOND","AGM/DIVIDEND-50%","50.00%","2007-05-30"
"RAYMOND","AGM/DIVIDEND-50%","50.00%","2006-06-06"
"RCOM","INT DIV-RE.0.80 PER SHAREPURPOSE REVISED","0.8","2009-08-04"
"RCOM","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.85 PER SHARE","0.85","2010-09-13"
"RCOM","AGM/DIVIDEND-10%","10.00%","2007-07-05"
"RCOM","AGM/DIVIDEND - 15%","15.00%","2008-09-19"
"RECLTD","AGM/DIV-RS.2.50 PER SHARE","2.5","2009-09-03"
"RECLTD","ANNUAL GENERAL MEETING AND DIVIDEND RS.3.50 PER SHARE","3.5","2010-08-24"
"RECLTD","INTERIM DIVIDEND-RS.3.50 PER SHARE (PURPOSE REVISED)","3.5","2011-02-11"
"RECLTD","AGM/DIVIDEND - 30%","30.00%","2008-09-08"
"RELCAPITAL","AGM/DIV-RS.3.50 PER SH","3.5","2007-05-30"
"RELCAPITAL","DIVIDEND-RS5.50 PER SHARE","5.5","2008-06-18"
"RELCAPITAL","ANNUAL GENERAL MEETING AND DIVIDEND RS.6.50 PER SHARE","6.5","2010-09-13"
"RELCAPITAL","DIVIDEND-RS.6.50 PR SHARE","6.5","2009-06-30"
"RELCAPITAL","DIVIDEND-30%","30.00%","2005-05-30"
"RELIANCE","DIVIDEND RS 7 PER SHARE","7","2010-05-10"
"RELIANCE","DIVIDEND-RS.13 PER SHARE","13","2008-05-08"
"RELINFRA","AGM/FIN DIV-RS3.80 PER SH","3.8","2006-05-25"
"RELINFRA","AGM/DIV-RS.5.30 PER SH","5.3","2007-06-28"
"RELINFRA","INTERIM DIVIDEND-RS.7.10 PER SHARE (PURPOSE REVISED)","7.1","2010-05-19"
"RELINFRA","DIVIDEND-14%","14.00%","2005-05-30"
"RELINFRA","AGM/DIVIDEND - 63%","63.00%","2008-07-04"
"RELMEDIA","AGM/DIV-RS.2.50 PER SHARE","2.5","2008-07-30"
"RELMEDIA","AGM/DIVIDEND-40%","40.00%","2005-09-20"
"RELMEDIA","AGM/DIVIDEND-45%","45.00%","2006-07-21"
"RELMEDIA","AGM/DIVIDEND-50%","50.00%","2007-10-19"
"RENUKA","INTERIM DIVIDEND-RE.1/- PER SHARE (PURPOSE REVISED)","1","2010-10-05"
"RENUKA","DIV-INT RE .50+SPL RE .50PURPOSE REVISED","1","2009-10-06"
"RENUKA","AGM/DIVIDEND - 20%","20.00%","2008-12-22"
"RENUKA","AGM/DIVIDEND-20%","20.00%","2005-12-21"
"RENUKA","AGM/FINAL DIVIDEND-20%","20.00%","2006-12-14"
"RENUKA","FINAL DIVIDEND - 20%","20.00%","2007-12-19"
"ROLTA","AGM/DIV-RS.3 PER SHARE","3","2008-11-12"
"ROLTA","AGM/DIV-RS.3/- PER SHARE","3","2009-11-13"
"ROLTA","ANNUAL GENERAL MEETING AND DIVIDEND RS.3.25 PER SHARE","3.25","2010-11-15"
"ROLTA","AGM/DIV-RS.3.50/- PER SH","3.5","2005-11-11"
"ROLTA","AGM/DIV-RS.4/- PER SH","4","2006-11-17"
"ROLTA","AGM/DIV-RS.5.00 PER SH","5","2007-11-07"
"RUCHISOYA","DIVIDEND-RE.0.50 PER SHARE","0.5","2010-09-23"
"RUCHISOYA","AGM/DIV-RE.0.50 PER SHAREPURPOSE REVISED","0.5","2009-09-17"
"RUCHISOYA","AGM/DIVIDEND-20%         PURPOSE REVISED","20.00%","2005-09-15"
"RUCHISOYA","AGM/DIVIDEND-22%","22.00%","2006-12-21"
"RUCHISOYA","AGM/DIVIDEND-24%","24.00%","2007-09-20"
"RUCHISOYA","DIVIDEND - 25%           PURPOSE REVISED","25.00%","2008-09-18"
"SAIL","INTERIM DIVIDEND-RS.1.20 PER SHARE (PURPOSE REVISED)","1.2","2011-01-18"
"SAIL","AGM/DIV-RS.1.30 PER SHARE","1.3","2009-07-30"
"SAIL","INT DIV-RS.1.60 PER SHAREPURPOSE REVISED","1.6","2010-02-01"
"SAIL","FINAL DIVIDEND-RS.1.70 PER SHARE","1.7","2010-07-29"
"SAIL","INTERIM DIVIDEND - 13%   PURPOSE REVISED","13.00%","2009-01-30"
"SAIL","AGM/DIVIDEND-15%","15.00%","2007-08-08"
"SAIL","INTERIM DIVIDEND-16%     PURPOSE REVISED","16.00%","2007-02-01"
"SAIL","AGM/DIVIDEND - 18%","18.00%","2008-07-31"
"SAIL","AGM/DIVIDEND-18%","18.00%","2005-08-11"
"SAIL","INTERIM DIVIDEND - 19%   PURPOSE REVISED","19.00%","2008-02-01"
"SAIL","AGM/DIVIDEND-7.5%","7.50%","2006-08-10"
"SBIN","DIVIDEND-RS.12.50 PER SHA","12.5","2005-06-17"
"SBIN","DIVIDEND-RS.14 PER SHARE","14","2006-06-19"
"SBIN","FINAL DIVIDEND-RS.20/- PER SHARE (PURPOSE REVISED)","20","2010-06-09"
"SBIN","DIV-RS.21.50 PER SHARE","21.5","2008-05-29"
"SBIN","DIVIDEND-RS.30/- PER SHARE (PURPOSE REVISED)","30","2011-05-20"
"SCI","AGM/DIV-RS.3/- PER SHARE","3","2005-09-16"
"SCI","INTERIM DIVIDEND-RS.3/- PER SHARE (PURPOSE REVISED)","3","2011-02-11"
"SCI","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.5/- PER SHARE","5","2010-09-20"
"SCI","AGM/DIV-RS.6.5 PER SHARE","6.5","2009-09-18"
"SCI","INT DIV-RS.8.50 PER SHAREPURPOSE REVISED","8.5","2007-04-03"
"SCI","AGM/DIVIDEND - 40%","40.00%","2008-09-19"
"SCI","INTERIM DIVIDEND - 45%   PURPOSE REVISED","45.00%","2008-02-27"
"SESAGOA","AGM/DIV-RS.2.25 PER SHAREBC DATES REVISED","2.25","2009-07-31"
"SESAGOA","DIVIDEND-RS.3.25 PR SHARE","3.25","2010-07-02"
"SESAGOA","DIVIDEND-RS.3.50 PER SHARE","3.5","2011-06-30"
"SESAGOA","AGM/FIN DIV-RS25/- PER SHBC DATES REVISED","25","2007-09-21"
"SESAGOA","DIVIDEND-200%","200.00%","2005-07-11"
"SESAGOA","AGM/DIVIDEND - 300%","300.00%","2008-07-11"
"SIEMENS","DIVIDEND - RS.4.80 PER SH","4.8","2008-01-14"
"SIEMENS","AGM/DIV-FIN-45% + SPL-55%","100.00%","2006-01-06"
"SIEMENS","AGM/DIVIDEND - 150%","150.00%","2009-01-14"
"SIEMENS","AGM/DIVIDEND - 190%","190.00%","2007-01-02"
"SINTEX","AGM/DIV-RS.1.10 PER SHARE","1.1","2009-09-25"
"SINTEX","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.20 PER SHARE","1.2","2010-09-09"
"SINTEX","AGM/DIVIDEND-40%","40.00%","2005-08-30"
"SINTEX","AGM/DIVIDEND-44%","44.00%","2006-06-13"
"SINTEX","AGM/DIVIDEND - 48%","48.00%","2007-06-13"
"SINTEX","AGM/DIVIDEND - 50%","50.00%","2008-08-28"
"SOBHA","AGM/DIV-RE.1/- PER SHARE","1","2009-06-11"
"SOBHA","DIVIDEND-RS.2.50 PR SHARE","2.5","2010-06-03"
"SOBHA","AGM/DIVIDEND-55%","55.00%","2007-08-02"
"SOBHA","AGM/DIVIDEND - 65%","65.00%","2008-07-16"
"SREINFRA","AGM/DIV-RE.1/- PER SHARE","1","2009-08-26"
"SREINFRA","DIVIDEND RE 1.20 PER SHARE","1.2","2010-07-21"
"SREINFRA","AGM/DIVIDEND-10%","10.00%","2007-08-13"
"SREINFRA","AGM/DIVIDEND - 12%","12.00%","2008-09-10"
"SREINFRA","DIVIDEND-15%","15.00%","2005-07-12"
"SREINFRA","AGM/DIVIDEND-16.5%","16.50%","2006-06-06"
"SRTRANSFIN","AGM/INT DIV - RE.1 PER SH","1","2006-12-13"
"SRTRANSFIN","INT DIVIDEND-RE.1 PER SH","1","2007-12-17"
"SRTRANSFIN","INTERIM DIVIDEND-RS.2.50 PER SHARE","2.5","2010-11-08"
"SRTRANSFIN","AGM/DIV- RS 4/- PER SHARE","4","2008-07-24"
"SRTRANSFIN","AGM/DIV-RS.4/- PER SHARE","4","2010-06-03"
"SRTRANSFIN","AGM/DIV-RS.4/- PER SHARE","4","2009-07-16"
"SRTRANSFIN","ANNUAL GENERAL MEETING AND FINAL DIVIDEND-RS.4/- PER SHARE","4","2011-06-10"
"SRTRANSFIN","INTERIM DIVIDEND - 10%","10.00%","2008-11-10"
"SRTRANSFIN","AGM/DIVIDEND-15%","15.00%","2005-08-30"
"SRTRANSFIN","AGM/FINAL DIVIDEND-20%","20.00%","2007-08-10"
"SRTRANSFIN","INTERIM DIVIDEND-20%","20.00%","2006-07-13"
"STER","AGM/DIV-RS.3.50 PER SHARE","3.5","2009-09-14"
"STER","DIVIDEND-RS.3.75 PER SHARE","3.75","2010-05-19"
"STER","AGM/DIVIDEND - 200%","200.00%","2008-08-14"
"STER","AGM/DIVIDEND-60%","60.00%","2005-08-23"
"STER","AGM/DIVIDEND-62.5%","62.50%","2006-09-08"
"STRTECH","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RE.0.50 PER SHARE","0.5","2010-07-05"
"STRTECH","AGM/DIVIDEND-10%","10.00%","2006-08-09"
"STRTECH","AGM/DIVIDEND-15%","15.00%","2007-07-06"
"STRTECH","DIVIDEND - 20%","20.00%","2008-07-23"
"STRTECH","DIVIDEND - 25%","25.00%","2009-07-16"
"SUNPHARMA","DIV-RS.13.75 PER SHARE","13.75","2009-08-21"
"SUNPHARMA","DIVIDEND-RS.13.75 PER SHARE","13.75","2010-09-09"
"SUNPHARMA","AGM/DIVIDEND-110%","110.00%","2006-09-06"
"SUNPHARMA","INTERIM DIVIDEND-135%    PURPOSE REVISED","135.00%","2007-03-15"
"SUNPHARMA","DIVIDEND - 210%","210.00%","2008-08-25"
"SUNPHARMA","AGM/DIVIDEND-75%","75.00%","2005-09-19"
"SUNTV","AGM/DIV-RE.1/- PER SHARE","1","2009-08-20"
"SUNTV","INT DIV-RS.1.50 PER SHAREPURPOSE REVISED","1.5","2010-01-28"
"SUNTV","INTERIM DIVIDEND-RS.5/- PER SHARE (PURPOSE REVISED)","5","2011-02-02"
"SUNTV","ANNUAL GENERAL MEETING / DIVIDEND RS 6 PER SHARE","6","2010-07-22"
"SUNTV","AGM/DIVIDEND-20%","20.00%","2006-09-13"
"SUNTV","AGM/SPL/BON-1:1/DIV-20%","20.00%","2007-07-23"
"SUNTV","INTERIM DIVIDEND - 30%   PURPOSE REVISED","30.00%","2009-02-02"
"SUNTV","INTERIM DIVIDEND-30%","30.00%","2007-02-13"
"SUNTV","AGM/DIVIDEND - 50%","50.00%","2008-08-12"
"SUZLON","AGM/DIVIDEND-RE.1 PER SH.","1","2008-07-17"
"SUZLON","AGM/DIV-RS.2.50/- PER SH","2.5","2006-07-06"
"SYNDIBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.3/- PER SHARE","3","2010-06-16"
"SYNDIBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.3.70 PER SHARE","3.7","2011-06-15"
"SYNDIBANK","AGM/FINAL DIVIDEND-10%","10.00%","2006-06-19"
"SYNDIBANK","AGM/DIVIDEND - 13%","13.00%","2008-06-13"
"SYNDIBANK","AGM/FINAL DIVIDEND-13%","13.00%","2007-06-12"
"SYNDIBANK","DIVIDEND-14%","14.00%","2005-05-20"
"SYNDIBANK","AGM/DIVIDEND - 15%","15.00%","2009-06-17"
"SYNDIBANK","INTERIM DIVIDEND - 15%","15.00%","2009-04-20"
"SYNDIBANK","INTERIM DIVIDEND - 15%","15.00%","2008-03-28"
"SYNDIBANK","INTERIM DIVIDEND-15%","15.00%","2006-12-06"
"TATACHEM","AGM/DIV.RS.6.50 PER SHARE","6.5","2005-06-29"
"TATACHEM","AGM/DIV-RS.7/- PER SH","7","2006-06-29"
"TATACHEM","AGM/DIV-RS.8/- PER SH","8","2007-07-06"
"TATACHEM","AGM/DIV-RS.9 PER SHARE","9","2008-07-18"
"TATACHEM","AGM/DIV-RS.9/- PER SHARE","9","2009-07-14"
"TATACOMM","AGM/DIV-RS.4.50 PER SH","4.5","2006-08-11"
"TATACOMM","AGM/DIV-RS.4.50 PER SHARE","4.5","2008-07-24"
"TATACOMM","DIVIDEND-RS.4.50 PER SH","4.5","2007-07-13"
"TATACOMM","DIVIDEND-RS.4.50 PR SHARE","4.5","2009-07-22"
"TATACOMM","DIV-(FIN-RS4.5+SPL-RS1.5)","6","2005-08-30"
"TATAGLOBAL","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-08-05"
"TATAGLOBAL","AGM/DIV-RS.12/- PER SH","12","2006-07-21"
"TATAGLOBAL","AGM/DIV-RS.15/- PER SH","15","2007-07-23"
"TATAGLOBAL","AGM/DIV-17.50 PER SHARE","17.5","2009-08-13"
"TATAGLOBAL","AGM/DIV-RS.15 + SPL-RS.20","35","2008-08-01"
"TATAGLOBAL","AGM/DIVIDEND-100%","100.00%","2005-07-21"
"TATAMOTORS","DIVIDEND-RS.15 PER SHARE PURPOSE REVISED","15","2008-06-16"
"TATAMOTORS","DIV FIN-100% + SPL-25%","125.00%","2005-06-23"
"TATAMOTORS","DIVIDEND-130%","130.00%","2006-06-23"
"TATAMOTORS","AGM/DIVIDEND-150%","150.00%","2007-06-01"
"TATAMTRDVR","DIVIDEND-RS.6.50 PR SHARE","6.5","2009-08-03"
"TATAMTRDVR","DIVIDEND-RS.15.50 PER SHARE","15.5","2010-08-10"
"TATAPOWER","AGM/DIV-RS.11.50 PR SHARE","11.5","2009-07-14"
"TATAPOWER","AGM/DIVIDEND - 105%","105.00%","2008-08-18"
"TATAPOWER","AGM/DIVIDEND-75%","75.00%","2005-07-12"
"TATAPOWER","AGM/DIVIDEND-85%","85.00%","2006-07-07"
"TATAPOWER","AGM/DIVIDEND-95%","95.00%","2007-07-17"
"TATASTEEL","ANNUAL GENERAL MEETING AND DIVIDEND RS.8/- PER SHARE","8","2010-07-12"
"TATASTEEL","AGM/DIV-RS.16/- PER SHARE","16","2009-07-06"
"TATASTEEL","AGM/DIVIDEND-130%        PURPOSE REVISED","130.00%","2006-05-26"
"TATASTEEL","DIVIDEND-130%","130.00%","2005-06-07"
"TATASTEEL","AGM/DIV FIN-130%+SPL-25%","155.00%","2007-06-08"
"TATASTEEL","AGM/DIVIDEND - 160%","160.00%","2008-07-18"
"TCS","INT DIV - RS.3 PER SHARE PURPOSE REVISED","3","2008-07-31"
"TCS","INT DIV-RS.3.00 PER SHAREPURPOSE REVISED","3","2007-10-22"
"TCS","3RD INT DIV - RS 3 PER SH","3","2008-01-23"
"TCS","3RD INT DIV-RS.3 PER SH  PURPOSE REVISED","3","2009-01-28"
"TCS","AGM/FIN DIV-RS.4/- PER SH","4","2007-06-15"
"TCS","AGM/DIV- RS 5/- PER SHARE","5","2008-06-18"
"TCS","FINAL DIVIDEND RS.4/- PER SHARE AND SPECIAL DIVIDEND RS.10/- PER SHARE","14","2010-06-15"
"TCS","AGM/FINAL DIVIDEND-450%","450.00%","2006-06-16"
"TCS","AGM/DIVIDEND-500%","500.00%","2005-07-06"
"TECHM","AGM/DIV-RS.3.50 PER SHARE","3.5","2010-07-21"
"TECHM","INTERIM DIVIDEND-15%     PURPOSE REVISED","15.00%","2007-03-21"
"TECHM","INTERIM DIVIDEND - 40%   PURPOSE REVISED","40.00%","2008-10-27"
"TECHM","AGM/DIVIDEND-55%","55.00%","2008-07-17"
"TITAN","AGM/DIV-RS.10/- PER SHARE","10","2009-07-10"
"TITAN","AGM/DIVIDEND-20%","20.00%","2005-08-12"
"TITAN","AGM/DIVIDEND-30%","30.00%","2006-08-04"
"TITAN","AGM/DIVIDEND-50%","50.00%","2007-07-11"
"TITAN","AGM/DIVIDEND - 80%","80.00%","2008-07-15"
"TRIVENI","ANNUAL GENERAL MEETING/FINAL DIVIDEND RE.0.20 PER SHARE/SPECIAL DIVIDEND RE.0.15 PER SHARE","0.35","2011-02-11"
"TRIVENI","INTERIM DIVIDEND-RE.0.40 PER SHARE","0.4","2010-05-18"
"TRIVENI","DIVIDEND-RE.0.70 PR SHARE","0.7","2009-12-22"
"TRIVENI","FINAL DIVIDEND-10%","10.00%","2007-12-14"
"TRIVENI","2ND INTERIM DIVIDEND-15%","15.00%","2007-06-14"
"TRIVENI","INTERIM DIVIDEND - 30%","30.00%","2009-05-11"
"TRIVENI","INTERIM DIVIDEND - 35%","35.00%","2006-11-02"
"TRIVENI","DIVIDEND-50%","50.00%","2006-06-26"
"TRIVENI","DIVIDEND-60%","60.00%","2008-12-18"
"TULIP","ANNUAL GENERAL MEETING AND FINAL DIVIDEND RS.1.60 PER SHARE","1.6","2010-08-18"
"TULIP","AGM/DIVIDEND-10%","10.00%","2006-09-18"
"TULIP","AGM/DIVIDEND - 20%","20.00%","2008-09-18"
"TULIP","AGM/FINAL DIVIDEND-20%","20.00%","2007-09-21"
"TV-18","INT DIV-RS.1.25 PER SH","1.25","2007-11-16"
"TV-18","2ND INTERIM DIVIDEND-15%","15.00%","2008-05-13"
"TV-18","INTERIM DIVIDEND-40%","40.00%","2007-03-22"
"TVSMOTOR","AGM/FIN DIV-RE0.15 PER SH","0.15","2007-08-10"
"TVSMOTOR","INTERIM DIVIDEND-RE.0.50 PER SHARE (PURPOSE REVISED)","0.5","2011-01-25"
"TVSMOTOR","2ND INTERIM DIVIDEND-RE.0.50 PER SHARE (PURPOSE REVISED)","0.5","2010-07-26"
"TVSMOTOR","AGM/DIV-RS.0.70 PER SHARE","0.7","2008-08-06"
"TVSMOTOR","INT DIV-RE.0.70 PER SH   PURPOSE REVISED","0.7","2006-10-27"
"TVSMOTOR","INT DIV-RE.0.70 PER SHAREPURPOSE REVISED","0.7","2010-01-25"
"TVSMOTOR","INT DIV-RE.0.70 PER SHAREPURPOSE REVISED","0.7","2009-06-29"
"TVSMOTOR","2ND INTERIM DIVIDEND-60%","60.00%","2005-06-03"
"TVSMOTOR","2ND INTERIM DIVIDEND-60%","60.00%","2006-07-03"
"UCOBANK","AGM/DIV-RE.1/- PER SHARE","1","2009-06-16"
"UCOBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER  SHARE","1.5","2010-06-23"
"UCOBANK","AGM/DIVIDEND - 10%","10.00%","2008-06-19"
"UCOBANK","AGM/DIVIDEND-10%","10.00%","2005-06-01"
"ULTRACEMCO","DIVIDEND-RE.0.75 PER SH.","0.75","2005-08-11"
"ULTRACEMCO","AGM/DIV-RS.5/- PER SHARE","5","2009-07-09"
"ULTRACEMCO","FINAL DIVIDEND-RS.6/- PER SHARE","6","2010-06-21"
"ULTRACEMCO","AGM/DIVIDEND - 50%","50.00%","2008-07-09"
"UNIONBANK","AGM/DIV-RS.5/- PER SHARE","5","2009-06-18"
"UNIONBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.5.50 PER SHARE","5.5","2010-06-24"
"UNIONBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.8/- PER SHARE","8","2011-06-16"
"UNIONBANK","AGM/FINAL DIVIDEND-15%","15.00%","2005-06-07"
"UNIONBANK","INTERIM DIVIDEND-15%","15.00%","2007-01-11"
"UNIONBANK","AGM/FINAL DIVIDEND-20%","20.00%","2007-06-14"
"UNIONBANK","AGM/FINAL DIVIDEND-35%","35.00%","2006-06-08"
"UNIONBANK","AGM/DIVIDEND - 40%","40.00%","2008-06-17"
"UNIPHOS","AGM/DIV-RS.1.50 PER SHARE","1.5","2009-09-03"
"UNIPHOS","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-08-26"
"UNIPHOS","AGM/DIVIDEND - 100%","100.00%","2008-09-04"
"UNIPHOS","AGM/DIVIDEND-40%","40.00%","2005-08-17"
"UNIPHOS","AGM/DIVIDEND-50%","50.00%","2006-09-07"
"UNIPHOS","INTERIM DIVIDEND-60%     PURPOSE REVISED","60.00%","2007-03-21"
"UNITECH","AGM/DIV-RE.0.10 PER SHARE","0.1","2009-08-06"
"UNITECH","ANNUAL GENERAL MEETING AND DIVIDEND RE.0.20 PER SHARE","0.2","2010-09-02"
"UNITECH","AGM/DIVIDEND-10%","10.00%","2006-08-17"
"UNITECH","AGM/DIVIDEND - 12.5%","12.50%","2008-08-25"
"UNITECH","AGM/DIVIDEND-25%","25.00%","2007-07-20"
"UNITECH","AGM/DIVIDEND-40%","40.00%","2005-09-15"
"VIDEOIND","AGM/DIV-RE.1/- PER SHARE","1","2009-03-13"
"VIDEOIND","ANNUAL GENERAL MEETING AND DIVIDEND RE.1/- PER SHARE","1","2011-06-14"
"VIDEOIND","AGM/DIV-RS.2/RH2:9@PRM215","2","2010-03-18"
"VIDEOIND","AGM/DIV-RS.2.50 PER SH","2.5","2006-03-16"
"VIDEOIND","AGM/DIV-RS.3.50/- PER SH","3.5","2007-03-15"
"VIDEOIND","AGM/DIVIDEND - 35%","35.00%","2008-03-14"
"VIJAYABANK","AGM/DIV-RE.1/- PER SHARE","1","2009-07-02"
"VIJAYABANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.2.50 PER SHARE","2.5","2010-07-02"
"VIJAYABANK","ANNUAL GENERAL MEETING/DIVIDEND RS.2.50 PER SHARE/ELECTION OF DIRECTORS","2.5","2011-06-17"
"VIJAYABANK","AGM/DIVIDEND - 10%","10.00%","2007-06-18"
"VIJAYABANK","DIVIDEND-10%","10.00%","2006-05-11"
"VIJAYABANK","INTERIM DIVIDEND-10%","10.00%","2006-11-06"
"VIJAYABANK","AGM/DIVIDEND - 20%","20.00%","2008-06-12"
"VOLTAS","AGM/DIV-RS.1.60 PER SHARE","1.6","2009-07-10"
"VOLTAS","ANNUAL GENERAL MEETING AND DIVIDEND RS.2/- PER SHARE","2","2010-07-16"
"VOLTAS","AGM/DIVIDEND-100%","100.00%","2007-07-06"
"VOLTAS","AGM/DIVIDEND-135%","135.00%","2008-06-27"
"VOLTAS","AGM/DIV-(FIN-35%+SPL-15%)","50.00%","2005-07-29"
"VOLTAS","AGM/DIVIDEND-60%","60.00%","2006-07-07"
"WELCORP","DIVIDEND-RS.1.50 PR SHARE","1.5","2009-06-08"
"WELCORP","AGM/DIVIDEND-10%","10.00%","2006-09-21"
"WELCORP","AGM/DIVIDEND-20%","20.00%","2007-07-09"
"WELCORP","AGM/DIVIDEND - 30%","30.00%","2008-07-29"
"WIPRO","AGM/FIN DIV-RE.1/- PER SH","1","2007-06-28"
"WIPRO","INTERIM DIVIDEND-RS.2/- PER SHARE (PURPOSE REVISED)","2","2011-01-27"
"WIPRO","AGM/DIV - RS.4 PER SHARE","4","2009-06-29"
"WIPRO","AGM/DIV-RS.4 PER SHARE","4","2008-06-27"
"WIPRO","ANNUAL GENERAL MEETING AND DIVIDEND RS.4/- PER SHARE","4","2011-06-29"
"WIPRO","AGM/ DIVIDEND-RS.5 PER SH","5","2005-06-29"
"WIPRO","AGM/FIN DIV-RS.5/- PER SH","5","2006-06-29"
"YESBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.1.50 PER SHARE","1.5","2010-06-24"
"YESBANK","ANNUAL GENERAL MEETING AND DIVIDEND RS.2.50 PER SHARE","2.5","2011-06-17"
"ZEEL","AGM/DIV-RS.2/- PER SHARE","2","2009-08-06"
"ZEEL","ANNUAL GENERAL MEETING / DIVIDEND RS.2/- PER SHARE / SCHEME OF ARRANGEMENT","2","2010-10-07"
"ZEEL","SPL INT DIV-RS.2/- PR SHR","2","2010-04-29"
"ZEEL","AGM/DIVIDEND-100%","100.00%","2005-09-20"
"ZEEL","SCH OF ARNGMNT/DIV-100%  PURPOSE REVISED","100.00%","2006-12-18"
"ZEEL","AGM/DIVIDEND-150%","150.00%","2007-08-08"
"ZEEL","AGM/DIVIDEND-200%","200.00%","2008-07-17"
